"paper","habitat","source","life.hist","lat","long","acclim_type","acclim_period","trait_category","trait","temp_1","temp_2","r1.1","r1.1_N","r1.2","r1.2_N","r2.1","r2.1_N","r2.2","r2.2_N","units","species_full","r1.1_sd","r1.2_sd","r2.1_sd","r2.2_sd","lnRR_Q10","V_lnRR_Q10","lnVR_Q10","V_lnVR_Q10","lnCVR_Q10","V_lnCVR_Q10","type"
"p001_o","f","w","a",43,4,1,35,"other","swim",18,30,0.81,10,1.23,10,1.04,10,1.7,10,"","Gambusia holbrooki",0.0632455532033676,0.0632455532033676,0.0632455532033676,0.126491106406735,0.348112667249982,0.000606983367315839,0,0.0771604938271605,-0.348112667249982,0.0777674771944763,"acute"
"p002_o","f","c","j",62.75,29.8,1,28,"cardiac","heart rate",4,17,32,15,75,15,25,15,88,15,"in beats/min","Oncorhynchus mykiss",3.87298334620742,15.4919333848297,3.87298334620742,7.74596669241483,0.655194008258911,0.00226095085470086,1.06638027778453,0.0422654268808115,0.411186269525621,0.0445263777355124,"acute"
"p002_o","f","c","a",62.6,29.75,1,28,"ATPase","myofibrillar ATPase",4,17,0.05,6,0.16,6,0.05,6,0.23,6,"in umol/mg protein x min","Oncorhynchus mykiss",0.0244948974278318,0.0734846922834953,0.0244948974278318,0.0489897948556636,0.894731392158216,0.0444711538461538,0.845086375898546,0.118343195266272,-0.0496450162596701,0.162814349112426,"acute"
"p004_o","f","w","a",41.8,83.4,1,14,"rest_MR","MR",5,25,0.14,12,0.83,12,0.06,12,0.82,12,"","Dreissena polymorpha",0.0692820323027551,0.207846096908265,0.103923048454133,0.27712812921102,0.88989163909067,0.00640847135776941,0.549306144334055,0.0227272727272727,-0.340585494756615,0.0291357440850421,"acute"
"p007_o","m","w","a",44.413889,-68.586667,1,14,"rest_MR","MR",10,20,0.2,8,0.4,8,0.16,8,0.35,8,"ml/g/h","Mya arenaria",0.14142135623731,0.113137084989848,0.14142135623731,0.113137084989848,0.693147180559945,0.0725,-0.22314355131421,0.142857142857143,-0.916290731874155,0.215357142857143,"acute"
"p007_o","m","w","a",44.413889,-68.586667,1,14,"rest_MR","MR",10,20,0.12,8,0.45,8,0.11,8,0.2,8,"ml/g/h","Mya arenaria",0.0848528137423857,0.197989898732233,0.0848528137423857,0.0565685424949238,1.32175583998232,0.0866975308641975,0.847297860387204,0.142857142857143,-0.474457979595116,0.22955467372134,"acute"
"p007_o","m","w","a",44.413889,-68.586667,1,14,"rest_MR","MR",10,20,0.35,8,0.4,8,0.11,8,0.25,8,"ml/g/h","Mya arenaria",0.113137084989848,0.0848528137423857,0.14142135623731,0.0848528137423857,0.133531392624523,0.0186862244897959,-0.287682072451781,0.142857142857143,-0.421213465076304,0.161543367346939,"acute"
"p007_o","m","w","a",44.413889,-68.586667,1,14,"rest_MR","MR",10,20,0.4,8,0.3,8,0.2,8,0.22,8,"ml/g/h","Mya arenaria",0.169705627484771,0.169705627484771,0.14142135623731,0.14142135623731,-0.287682072451781,0.0625,0,0.142857142857143,0.287682072451781,0.205357142857143,"acute"
"p012_o","t","w","a",32.21,24.91,1,16,"cardiac","HR",6,20,9,6,20,6,12.5,6,20,6,"bpm","Helix aspersa",2.44948974278318,4.89897948556636,4.89897948556636,4.89897948556636,0.570362640155551,0.0114008566389519,0.495105128971389,0.102040816326531,-0.0752575111841617,0.113441672965483,"acute"
"p012_o","t","w","a",40.8,22.05,1,16,"cardiac","HR",6,20,6,6,18,6,9,6,25,6,"bpm","Helix lucorum",2.44948974278318,4.89897948556636,4.89897948556636,4.89897948556636,0.784723063334364,0.0204711514235324,0.495105128971389,0.102040816326531,-0.289617934362975,0.122511967750063,"acute"
"p013_o","m","w","a",56.3404,-2.7955,1,50,"ATPase","ATPase",5,15,0.16,6,0.48,6,0.13,6,0.44,6,"umol pi mg-1 min-1","Myoxocephalus scorpius",0.0244948974278318,0.146969384566991,0.0244948974278318,0.146969384566991,1.09861228866811,0.01953125,1.79175946922805,0.2,0.693147180559945,0.21953125,"acute"
"p013_o","m","w","a",56.3404,-2.7955,1,50,"muscle","tension",5,15,97,10,147,10,110,10,108,10,"kN m-2","Myoxocephalus scorpius",47.4341649025257,47.4341649025257,37.9473319220206,31.6227766016838,0.415721608275353,0.0343256027209763,0,0.111111111111111,-0.415721608275354,0.145436713832087,"acute"
"p013_o","m","w","a",56.3404,-2.7955,1,50,"muscle","velocity",5,15,3.5,10,4.1,10,2.8,10,6.2,10,"L s-1","Myoxocephalus scorpius",2.5298221281347,0.632455532033676,3.16227766016838,2.5298221281347,0.158224005214894,0.0546244339496655,-1.38629436111989,0.111111111111111,-1.54451836633478,0.165735545060777,"acute"
"p014_o","f","w","a",22,47.4,1,28,"rest_MR","MR",15,25,1.72,10,5.94,10,0.63,10,3.44,10,"","Prochilodus scrofa",1.20166551086398,2.46657657493134,0.790569415042095,0.790569415042095,1.23938484254919,0.0660533061134533,0.719122666963206,0.111111111111111,-0.520262175585986,0.177164417224564,"acute"
"p014_o","f","w","a",22,47.4,1,28,"rest_MR","MR",25,35,3.44,10,14.38,10,2.34,10,8.75,10,"","Prochilodus scrofa",0.980306074652198,7.90569415042095,1.20166551086398,4.93315314986267,1.43036688090759,0.0383456608983873,2.0874737133771,0.111111111111111,0.657106832469507,0.149456772009498,"acute"
"p015_o","m","w","a",56.3404,-2.7955,1,50,"muscle","Fibre Vmax",5,15,3.7,8,3,5,3.6,5,7.1,5,"muscle length s-1","Myoxocephalus scorpius",0.565685424949238,1.56524758424985,1.11803398874989,2.01246117974981,-0.209720530982069,0.057366285204123,1.0177611538725,0.196428571428571,1.22748168485457,0.253794856632694,"acute"
"p015_o","m","w","a",56.3404,-2.7955,2,50,"muscle","Fibre Vmax",5,15,4.4,10,4,7,3.2,7,6.4,7,"muscle length s-1","Myoxocephalus scorpius",1.26491106406735,0.793725393319377,1.85202591774521,1.3228756555323,-0.0953101798043249,0.0138894628099174,-0.466019544421147,0.138888888888889,-0.370709364616822,0.152778351698806,"acute"
"p015_o","m","w","a",56.3404,-2.7955,1,50,"muscle","Muscle force - tetani",5,15,139.4,11,78.3,10,124.9,10,282,8,"","Myoxocephalus scorpius",48.0910594601533,49.9639870306604,64.5104642674349,7.35391052434009,-0.576799895329666,0.0515379762404149,0.0382062007042301,0.105555555555556,0.615006096033896,0.15709353179597,"acute"
"p015_o","m","w","a",56.3404,-2.7955,2,50,"muscle","Muscle force - tetani",5,15,161.7,12,74.2,9,179.4,6,266.7,7,"kNm-2","Myoxocephalus scorpius",49.1902429349561,37.5,45.5605092157671,2.64575131106459,-0.778978616409726,0.0360918043429352,-0.27135435652485,0.107954545454545,0.507624259884876,0.144046349797481,"acute"
"p015_o","m","w","a",56.3404,-2.7955,1,50,"muscle","Muscle force - twitch",5,15,72.3,12,26.2,11,80.6,11,127.4,9,"","Myoxocephalus scorpius",45.0333209967908,33.166247903554,37.1461976519805,57,-1.01506471839767,0.178009484178287,-0.305869952962306,0.0954545454545455,0.709194765435362,0.273464029632832,"acute"
"p015_o","m","w","a",56.3404,-2.7955,2,50,"muscle","Muscle force - twitch",5,15,82.8,12,24.1,12,114.5,7,128.6,8,"kNm-2","Myoxocephalus scorpius",36.3730669589464,14.8956369450923,24.3409120617942,59.9626550446192,-1.2342162208946,0.047916031752598,-0.892760234463961,0.0909090909090909,0.341455986430644,0.138825122661689,"acute"
"p015_o","m","w","a",56.3404,-2.7955,1,50,"muscle","Muscle Wmax",5,15,121.1,8,33.62,5,55.3,5,206.3,5,"W kg-1","Myoxocephalus scorpius",94.1866232540481,18.9618564491982,44.7213595499958,39.1311896062463,-1.28149552257858,0.139234030204558,-1.60284876180545,0.196428571428571,-0.321353239226877,0.335662601633129,"acute"
"p018_o","f","c","a",36.2,86.75,1,84,"rest_MR","MR",8,26,2.72,10,6.21,10,1.47,10,4.64,10,"light conditions were also changed","Notophthalmus viridescens",0.853814968245463,0.853814968245463,0.853814968245463,0.980306074652198,0.458627230909712,0.00362464228461482,0,0.0342935528120713,-0.458627230909712,0.0379181950966861,"acute"
"p022_o","f","w","a",36.07638,-94.16,1,14,"rest_MR","MR",5,10,13.8,15,19.3,15,13.3,15,14.8,15,"ul/g/h","Eurycea multiplicata",1.66538283886919,2.67235850888312,0.968245836551854,1.47173367155882,0.670873007495362,0.00899625836423216,0.945812777807394,0.285714285714286,0.274939770312032,0.294710544078518,"acute"
"p022_o","f","w","a",36.07638,-94.16,1,14,"rest_MR","MR",10,15,14.8,15,26.3,15,15.8,15,21.8,15,"ul/g/h","Eurycea multiplicata",1.47173367155882,2.59489884195897,1.47173367155882,2.47870934157275,1.1498835168273,0.00523292190380595,1.13421291932916,0.285714285714286,-0.0156705974981382,0.290947207618092,"acute"
"p022_o","f","w","a",36.07638,-94.16,1,14,"rest_MR","MR",15,20,21.8,15,61.9,15,47.3,15,46.5,15,"ul/g/h","Eurycea multiplicata",2.47870934157275,12.50973620825,8.13326502703558,4.37647118121438,2.08722041979101,0.0143389219951885,3.23753847972597,0.285714285714286,1.15031805993496,0.300053207709474,"acute"
"p022_o","f","w","a",36.07638,-94.16,1,14,"rest_MR","MR",20,25,46.5,15,75.2,15,54.7,15,76,15,"ul/g/h","Eurycea multiplicata",4.37647118121438,6.93264018971128,7.62977719202861,6.04185402008357,0.961397836724967,0.00462853673719976,0.919995974256829,0.285714285714286,-0.0414018624681382,0.290342822451485,"acute"
"p024_o","t","w","j",34,-112,1,21,"rest_MR","MR",6,25,6,8,44,8,14,11,52,11,"ul STPD/g/h","Ambystoma tigrinum",5.65685424949238,14.142135623731,16.583123951777,19.8997487421324,1.04864745510011,0.034355771260833,0.482258279933766,0.0395726157499011,-0.566389175166343,0.073928387010734,"acute"
"p024_o","t","w","j",34,-112,1,21,"rest_MR","MR",6,25,14,8,107,8,24,11,137,11,"ul STPD/g/h","Ambystoma tigrinum",5.65685424949238,28.2842712474619,13.2664991614216,53.0659966456864,1.07040605518245,0.0080727286836671,0.847072585491632,0.0395726157499011,-0.223333469690814,0.0476453444335682,"acute"
"p024_o","t","w","a",34,-112,1,21,"rest_MR","MR",6,25,12,5,63,5,17,7,86,7,"ul STPD/g/h","Ambystoma tigrinum",11.1803398874989,22.3606797749979,5.29150262212918,18.5202591774521,0.872751619265017,0.0550710178397819,0.364814305557866,0.0692520775623269,-0.507937313707151,0.124323095402109,"acute"
"p024_o","t","w","a",34,-112,1,21,"rest_MR","MR",6,25,27,5,172,5,25,7,236,7,"ul STPD/g/h","Ambystoma tigrinum",11.1803398874989,13.4164078649987,7.93725393319377,52.9150262212918,0.97455663726796,0.00983668332354838,0.0959587141020814,0.0692520775623269,-0.878597923165879,0.0790887608858753,"acute"
"p026_o","m","w","a",54.086,-4.756,1,30,"rest_MR","MR",10,20,60,18,120,18,55,18,85,18,"ml/g/h","Blennius pholis",5.09116882454314,8.48528137423857,12.7279220613579,16.9705627484771,0.693147180559945,0.000677777777777778,0.510825623765991,0.0588235294117647,-0.182321556793955,0.0595013071895425,"acute"
"p031_o","f","w","j",25.72,152.58,1,56,"rest_MR","MR",17,28,3.57,6,7.14,6,2.68,7,7.59,7,"","Elusor macrurus",0.0979795897113271,1.32272446110292,1.05830052442584,2.01077099640909,0.630133800509041,0.00483097144221487,2.36608153222217,0.165289256198347,1.73594773171313,0.170120227640562,"acute"
"p031_o","f","w","j",25.72,152.58,1,56,"sprint","swim",17,28,0.68,6,0.79,6,0.67,7,0.79,7,"units in m/s","Elusor macrurus",0.0734846922834953,0.0734846922834953,0.0529150262212918,0.0529150262212918,0.136309224809922,0.0028003664233859,0,0.165289256198347,-0.136309224809923,0.168089622621733,"acute"
"p033_o","f","c","a",27.5,153,1,56,"sprint","swim",16,30,0.82,15,1.35,15,0.68,16,1.25,16,"units in m/s","Danio rerio",0.0774596669241483,0.0774596669241483,0.12,0.04,0.35611109369584,0.000415491191641694,0,0.0364431486880466,-0.35611109369584,0.0368586398796883,"acute"
"p034_o","f","c","a",53.6,-0.5,1,96,"ATPase","ATPase",8,20,0.36,6,0.86,6,0.18,6,0.58,6,"umol Pi/mg/min","Cyprinus carpio",0.0489897948556636,0.122474487139159,0.0244948974278318,0.122474487139159,0.725690298164498,0.00449071199276516,0.763575609895129,0.138888888888889,0.037885311730631,0.143379600881654,"acute"
